County,State,FIPS County Code,2006 Prescribing Rate,Year
"Aleutians East, AK",AK,2013,–,2006
"Aleutians West, AK",AK,2016,–,2006
"Anchorage, AK",AK,2020,71.5,2006
"Bethel, AK",AK,2050,–,2006
"Bristol Bay, AK",AK,2060,–,2006
"Denali, AK",AK,2068,–,2006
"Dillingham, AK",AK,2070,–,2006
"Fairbanks North Star, AK",AK,2090,54.7,2006
"Haines, AK",AK,2100,–,2006
"Hoonah-Angoon, AK",AK,2105,–,2006
"Juneau, AK",AK,2110,95.3,2006
"Kenai Peninsula, AK",AK,2122,89.1,2006
"Ketchikan Gateway, AK",AK,2130,144.4,2006
"Kodiak Island, AK",AK,2150,69.4,2006
"Lake and Peninsula, AK",AK,2164,–,2006
"Matanuska-Susitna, AK",AK,2170,82.5,2006
"Nome, AK",AK,2180,–,2006
"North Slope, AK",AK,2185,–,2006
"Northwest Arctic, AK",AK,2188,–,2006
"Petersburg, AK",AK,2195,107.4,2006
"Prince of Wales-Hyder, AK",AK,2198,–,2006
"Sitka, AK",AK,2220,–,2006
"Skagway, AK",AK,2230,–,2006
"Southeast Fairbanks, AK",AK,2240,–,2006
"Valdez-Cordova, AK",AK,2261,46.5,2006
"Wade Hampton, AK",AK,2270,–,2006
"Wrangell, AK",AK,2275,–,2006
"Yakutat, AK",AK,2282,–,2006
"Yukon-Koyukuk, AK",AK,2290,–,2006
"Autauga, AL",AL,1001,134.8,2006
"Baldwin, AL",AL,1003,127.8,2006
"Barbour, AL",AL,1005,78.1,2006
"Bibb, AL",AL,1007,114.3,2006
"Blount, AL",AL,1009,40.3,2006
"Bullock, AL",AL,1011,34.6,2006
"Butler, AL",AL,1013,105.4,2006
"Calhoun, AL",AL,1015,165.7,2006
"Chambers, AL",AL,1017,120.4,2006
"Cherokee, AL",AL,1019,123.8,2006
"Chilton, AL",AL,1021,109,2006
"Choctaw, AL",AL,1023,60.2,2006
"Clarke, AL",AL,1025,120.6,2006
"Clay, AL",AL,1027,114,2006
"Cleburne, AL",AL,1029,12.6,2006
"Coffee, AL",AL,1031,118.6,2006
"Colbert, AL",AL,1033,196.8,2006
"Conecuh, AL",AL,1035,142.1,2006
"Coosa, AL",AL,1037,25.2,2006
"Covington, AL",AL,1039,202.1,2006
"Crenshaw, AL",AL,1041,93.7,2006
"Cullman, AL",AL,1043,140.6,2006
"Dale, AL",AL,1045,64,2006
"Dallas, AL",AL,1047,77.9,2006
"DeKalb, AL",AL,1049,50.6,2006
"Elmore, AL",AL,1051,83,2006
"Escambia, AL",AL,1053,116.7,2006
"Etowah, AL",AL,1055,126.2,2006
"Fayette, AL",AL,1057,78,2006
"Franklin, AL",AL,1059,160.3,2006
"Geneva, AL",AL,1061,30.2,2006
"Greene, AL",AL,1063,32.4,2006
"Hale, AL",AL,1065,59.3,2006
"Henry, AL",AL,1067,41,2006
"Houston, AL",AL,1069,157.6,2006
"Jackson, AL",AL,1071,108.9,2006
"Jefferson, AL",AL,1073,119.4,2006
"Lamar, AL",AL,1075,53,2006
"Lauderdale, AL",AL,1077,132.7,2006
"Lawrence, AL",AL,1079,45.9,2006
"Lee, AL",AL,1081,70.6,2006
"Limestone, AL",AL,1083,60,2006
"Lowndes, AL",AL,1085,9.1,2006
"Macon, AL",AL,1087,46.6,2006
"Madison, AL",AL,1089,115.3,2006
"Marengo, AL",AL,1091,114.1,2006
"Marion, AL",AL,1093,216,2006
"Marshall, AL",AL,1095,182.3,2006
"Mobile, AL",AL,1097,127.7,2006
"Monroe, AL",AL,1099,134.3,2006
"Montgomery, AL",AL,1101,97.5,2006
"Morgan, AL",AL,1103,151.8,2006
"Perry, AL",AL,1105,–,2006
"Pickens, AL",AL,1107,85.5,2006
"Pike, AL",AL,1109,88.3,2006
"Randolph, AL",AL,1111,56.4,2006
"Russell, AL",AL,1113,139.5,2006
"St. Clair, AL",AL,1115,79.1,2006
"Shelby, AL",AL,1117,110.4,2006
"Sumter, AL",AL,1119,39,2006
"Talladega, AL",AL,1121,111.6,2006
"Tallapoosa, AL",AL,1123,82.9,2006
"Tuscaloosa, AL",AL,1125,105.1,2006
"Walker, AL",AL,1127,304.1,2006
"Washington, AL",AL,1129,37.8,2006
"Wilcox, AL",AL,1131,45.4,2006
"Winston, AL",AL,1133,121.4,2006
"Arkansas, AR",AR,5001,64.3,2006
"Ashley, AR",AR,5003,89.7,2006
"Baxter, AR",AR,5005,120.9,2006
"Benton, AR",AR,5007,81.9,2006
"Boone, AR",AR,5009,152.4,2006
"Bradley, AR",AR,5011,109,2006
"Calhoun, AR",AR,5013,73.7,2006
"Carroll, AR",AR,5015,32.7,2006
"Chicot, AR",AR,5017,50.9,2006
"Clark, AR",AR,5019,59.9,2006
"Clay, AR",AR,5021,45.4,2006
"Cleburne, AR",AR,5023,91.1,2006
"Cleveland, AR",AR,5025,–,2006
"Columbia, AR",AR,5027,89.9,2006
"Conway, AR",AR,5029,36.8,2006
"Craighead, AR",AR,5031,166.1,2006
"Crawford, AR",AR,5033,118.8,2006
"Crittenden, AR",AR,5035,103.2,2006
"Cross, AR",AR,5037,71.5,2006
"Dallas, AR",AR,5039,78.4,2006
"Desha, AR",AR,5041,143.1,2006
"Drew, AR",AR,5043,63.1,2006
"Faulkner, AR",AR,5045,96.9,2006
"Franklin, AR",AR,5047,13.8,2006
"Fulton, AR",AR,5049,43.6,2006
"Garland, AR",AR,5051,177.4,2006
"Grant, AR",AR,5053,22.4,2006
"Greene, AR",AR,5055,153.9,2006
"Hempstead, AR",AR,5057,92.2,2006
"Hot Spring, AR",AR,5059,85.2,2006
"Howard, AR",AR,5061,118,2006
"Independence, AR",AR,5063,171.7,2006
"Izard, AR",AR,5065,64.4,2006
"Jackson, AR",AR,5067,133.8,2006
"Jefferson, AR",AR,5069,82.8,2006
"Johnson, AR",AR,5071,26.4,2006
"Lafayette, AR",AR,5073,–,2006
"Lawrence, AR",AR,5075,28.6,2006
"Lee, AR",AR,5077,–,2006
"Lincoln, AR",AR,5079,32.9,2006
"Little River, AR",AR,5081,82,2006
"Logan, AR",AR,5083,43.4,2006
"Lonoke, AR",AR,5085,67.5,2006
"Madison, AR",AR,5087,60.7,2006
"Marion, AR",AR,5089,47.9,2006
"Miller, AR",AR,5091,54.2,2006
"Mississippi, AR",AR,5093,106.2,2006
"Monroe, AR",AR,5095,50.7,2006
"Montgomery, AR",AR,5097,60.1,2006
"Nevada, AR",AR,5099,–,2006
"Newton, AR",AR,5101,–,2006
"Ouachita, AR",AR,5103,96.5,2006
"Perry, AR",AR,5105,52.9,2006
"Phillips, AR",AR,5107,155.6,2006
"Pike, AR",AR,5109,–,2006
"Poinsett, AR",AR,5111,60,2006
"Polk, AR",AR,5113,135.1,2006
"Pope, AR",AR,5115,133.7,2006
"Prairie, AR",AR,5117,99.4,2006
"Pulaski, AR",AR,5119,103,2006
"Randolph, AR",AR,5121,79,2006
"St. Francis, AR",AR,5123,73.6,2006
"Saline, AR",AR,5125,89.3,2006
"Scott, AR",AR,5127,194.4,2006
"Searcy, AR",AR,5129,–,2006
"Sebastian, AR",AR,5131,171.7,2006
"Sevier, AR",AR,5133,28.5,2006
"Sharp, AR",AR,5135,157.1,2006
"Stone, AR",AR,5137,120.1,2006
"Union, AR",AR,5139,115.3,2006
"Van Buren, AR",AR,5141,69,2006
"Washington, AR",AR,5143,94.2,2006
"White, AR",AR,5145,103.9,2006
"Woodruff, AR",AR,5147,–,2006
"Yell, AR",AR,5149,24.2,2006
"Apache, AZ",AZ,4001,16,2006
"Cochise, AZ",AZ,4003,70.3,2006
"Coconino, AZ",AZ,4005,55.1,2006
"Gila, AZ",AZ,4007,109.4,2006
"Graham, AZ",AZ,4009,99.6,2006
"Greenlee, AZ",AZ,4011,–,2006
"La Paz, AZ",AZ,4012,52.1,2006
"Maricopa, AZ",AZ,4013,71.7,2006
"Mohave, AZ",AZ,4015,117.2,2006
"Navajo, AZ",AZ,4017,67.6,2006
"Pima, AZ",AZ,4019,86.3,2006
"Pinal, AZ",AZ,4021,69,2006
"Santa Cruz, AZ",AZ,4023,31.5,2006
"Yavapai, AZ",AZ,4025,93.7,2006
"Yuma, AZ",AZ,4027,46.9,2006
"Alameda, CA",CA,6001,39.7,2006
"Alpine, CA",CA,6003,–,2006
"Amador, CA",CA,6005,105,2006
"Butte, CA",CA,6007,154.1,2006
"Calaveras, CA",CA,6009,87.5,2006
"Colusa, CA",CA,6011,32.2,2006
"Contra Costa, CA",CA,6013,50.6,2006
"Del Norte, CA",CA,6015,127.1,2006
"El Dorado, CA",CA,6017,83.1,2006
"Fresno, CA",CA,6019,61.5,2006
"Glenn, CA",CA,6021,84.1,2006
"Humboldt, CA",CA,6023,132.3,2006
"Imperial, CA",CA,6025,51.7,2006
"Inyo, CA",CA,6027,76,2006
"Kern, CA",CA,6029,59.3,2006
"Kings, CA",CA,6031,60,2006
"Lake, CA",CA,6033,139,2006
"Lassen, CA",CA,6035,105.3,2006
"Los Angeles, CA",CA,6037,37.9,2006
"Madera, CA",CA,6039,48.6,2006
"Marin, CA",CA,6041,55.7,2006
"Mariposa, CA",CA,6043,33.2,2006
"Mendocino, CA",CA,6045,114.1,2006
"Merced, CA",CA,6047,60.6,2006
"Modoc, CA",CA,6049,114.4,2006
"Mono, CA",CA,6051,59.7,2006
"Monterey, CA",CA,6053,62.5,2006
"Napa, CA",CA,6055,40.2,2006
"Nevada, CA",CA,6057,101,2006
"Orange, CA",CA,6059,48.3,2006
"Placer, CA",CA,6061,75.5,2006
"Plumas, CA",CA,6063,106.1,2006
"Riverside, CA",CA,6065,53.2,2006
"Sacramento, CA",CA,6067,57.9,2006
"San Benito, CA",CA,6069,49.3,2006
"San Bernardino, CA",CA,6071,47.5,2006
"San Diego, CA",CA,6073,44,2006
"San Francisco, CA",CA,6075,42.7,2006
"San Joaquin, CA",CA,6077,60.5,2006
"San Luis Obispo, CA",CA,6079,77.9,2006
"San Mateo, CA",CA,6081,39.3,2006
"Santa Barbara, CA",CA,6083,66.7,2006
"Santa Clara, CA",CA,6085,30.3,2006
"Santa Cruz, CA",CA,6087,77.2,2006
"Shasta, CA",CA,6089,179.6,2006
"Sierra, CA",CA,6091,–,2006
"Siskiyou, CA",CA,6093,107.3,2006
"Solano, CA",CA,6095,48.3,2006
"Sonoma, CA",CA,6097,70.1,2006
"Stanislaus, CA",CA,6099,98.4,2006
"Sutter, CA",CA,6101,134.3,2006
"Tehama, CA",CA,6103,109.4,2006
"Trinity, CA",CA,6105,120.5,2006
"Tulare, CA",CA,6107,72.1,2006
"Tuolumne, CA",CA,6109,126.3,2006
"Ventura, CA",CA,6111,59.9,2006
"Yolo, CA",CA,6113,55.8,2006
"Yuba, CA",CA,6115,76.1,2006
"Adams, CO",CO,8001,52.6,2006
"Alamosa, CO",CO,8003,172.7,2006
"Arapahoe, CO",CO,8005,56.9,2006
"Archuleta, CO",CO,8007,50,2006
"Baca, CO",CO,8009,80.4,2006
"Bent, CO",CO,8011,32.7,2006
"Boulder, CO",CO,8013,59.3,2006
"Broomfield, CO",CO,8014,51.8,2006
"Chaffee, CO",CO,8015,88.7,2006
"Cheyenne, CO",CO,8017,45,2006
"Clear Creek, CO",CO,8019,48.2,2006
"Conejos, CO",CO,8021,–,2006
"Costilla, CO",CO,8023,–,2006
"Crowley, CO",CO,8025,32.3,2006
"Custer, CO",CO,8027,–,2006
"Delta, CO",CO,8029,81.2,2006
"Denver, CO",CO,8031,42.8,2006
"Dolores, CO",CO,8033,–,2006
"Douglas, CO",CO,8035,55.5,2006
"Eagle, CO",CO,8037,51.9,2006
"Elbert, CO",CO,8039,24.1,2006
"El Paso, CO",CO,8041,66.3,2006
"Fremont, CO",CO,8043,66.3,2006
"Garfield, CO",CO,8045,93.4,2006
"Gilpin, CO",CO,8047,–,2006
"Grand, CO",CO,8049,51.1,2006
"Gunnison, CO",CO,8051,49.8,2006
"Hinsdale, CO",CO,8053,–,2006
"Huerfano, CO",CO,8055,93.5,2006
"Jackson, CO",CO,8057,–,2006
"Jefferson, CO",CO,8059,72.2,2006
"Kiowa, CO",CO,8061,77,2006
"Kit Carson, CO",CO,8063,–,2006
"Lake, CO",CO,8065,72.6,2006
"La Plata, CO",CO,8067,80.2,2006
"Larimer, CO",CO,8069,65.4,2006
"Las Animas, CO",CO,8071,117.3,2006
"Lincoln, CO",CO,8073,–,2006
"Logan, CO",CO,8075,61.4,2006
"Mesa, CO",CO,8077,93.1,2006
"Mineral, CO",CO,8079,–,2006
"Moffat, CO",CO,8081,95.9,2006
"Montezuma, CO",CO,8083,77.6,2006
"Montrose, CO",CO,8085,85.9,2006
"Morgan, CO",CO,8087,70.8,2006
"Otero, CO",CO,8089,105.9,2006
"Ouray, CO",CO,8091,49.8,2006
"Park, CO",CO,8093,14.5,2006
"Phillips, CO",CO,8095,38,2006
"Pitkin, CO",CO,8097,23.5,2006
"Prowers, CO",CO,8099,78.6,2006
"Pueblo, CO",CO,8101,102.4,2006
"Rio Blanco, CO",CO,8103,–,2006
"Rio Grande, CO",CO,8105,50.1,2006
"Routt, CO",CO,8107,86.2,2006
"Saguache, CO",CO,8109,–,2006
"San Juan, CO",CO,8111,–,2006
"San Miguel, CO",CO,8113,42.9,2006
"Sedgwick, CO",CO,8115,81,2006
"Summit, CO",CO,8117,75.6,2006
"Teller, CO",CO,8119,76.5,2006
"Washington, CO",CO,8121,41.4,2006
"Weld, CO",CO,8123,56.5,2006
"Yuma, CO",CO,8125,64.3,2006
"Fairfield, CT",CT,9001,50.4,2006
"Hartford, CT",CT,9003,68.9,2006
"Litchfield, CT",CT,9005,67,2006
"Middlesex, CT",CT,9007,67.4,2006
"New Haven, CT",CT,9009,73.3,2006
"New London, CT",CT,9011,73,2006
"Tolland, CT",CT,9013,47.8,2006
"Windham, CT",CT,9015,73.7,2006
"District of Columbia, DC",DC,11001,31.7,2006
"Kent, DE",DE,10001,80.9,2006
"New Castle, DE",DE,10003,81.6,2006
"Sussex, DE",DE,10005,105.7,2006
"Alachua, FL",FL,12001,87.4,2006
"Baker, FL",FL,12003,148,2006
"Bay, FL",FL,12005,120.4,2006
"Bradford, FL",FL,12007,94,2006
"Brevard, FL",FL,12009,95.5,2006
"Broward, FL",FL,12011,66.2,2006
"Calhoun, FL",FL,12013,77.1,2006
"Charlotte, FL",FL,12015,102.3,2006
"Citrus, FL",FL,12017,100,2006
"Clay, FL",FL,12019,94.9,2006
"Collier, FL",FL,12021,76.1,2006
"Columbia, FL",FL,12023,127.3,2006
"DeSoto, FL",FL,12027,60.1,2006
"Dixie, FL",FL,12029,54.7,2006
"Duval, FL",FL,12031,90.3,2006
"Escambia, FL",FL,12033,121.6,2006
"Flagler, FL",FL,12035,91.9,2006
"Franklin, FL",FL,12037,110.5,2006
"Gadsden, FL",FL,12039,58.4,2006
"Gilchrist, FL",FL,12041,59.8,2006
"Glades, FL",FL,12043,–,2006
"Gulf, FL",FL,12045,118.2,2006
"Hamilton, FL",FL,12047,58.5,2006
"Hardee, FL",FL,12049,56,2006
"Hendry, FL",FL,12051,79.7,2006
"Hernando, FL",FL,12053,101.3,2006
"Highlands, FL",FL,12055,73.7,2006
"Hillsborough, FL",FL,12057,110.5,2006
"Holmes, FL",FL,12059,85.3,2006
"Indian River, FL",FL,12061,99,2006
"Jackson, FL",FL,12063,79.3,2006
"Jefferson, FL",FL,12065,65,2006
"Lafayette, FL",FL,12067,28.1,2006
"Lake, FL",FL,12069,85.4,2006
"Lee, FL",FL,12071,92.8,2006
"Leon, FL",FL,12073,78.9,2006
"Levy, FL",FL,12075,96,2006
"Liberty, FL",FL,12077,13,2006
"Madison, FL",FL,12079,74,2006
"Manatee, FL",FL,12081,91.1,2006
"Marion, FL",FL,12083,92,2006
"Martin, FL",FL,12085,82.8,2006
