County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
ALEUTIANS EAST,AK,12.45,18.77,27.32
ALEUTIANS WEST,AK,5.59,9.36,17.18
ANCHORAGE,AK,6.15,10.73,15.29
BETHEL,AK,24.90,39.28,50.06
BRISTOL BAY,AK,2.39,8.61,16.75
DENALI,AK,2.85,4.43,10.44
DILLINGHAM,AK,16.13,29.01,42.97
FAIRBANKS NORTH STAR,AK,4.99,10.06,16.87
HAINES,AK,8.01,13.56,26.31
HOONAH-ANGOON,AK,7.54,16.05,23.79
JUNEAU,AK,4.38,6.35,9.17
KENAI PENINSULA,AK,7.76,13.84,20.44
KETCHIKAN GATEWAY,AK,7.39,11.60,19.52
KODIAK ISLAND,AK,9.47,12.23,23.50
KUSILVAK,AK,39.01,60.64,72.79
LAKE AND PENINSULA,AK,13.68,28.77,39.65
MATANUSKA-SUSITNA,AK,7.26,12.15,18.61
NOME,AK,20.32,32.05,44.05
NORTH SLOPE,AK,9.58,18.34,28.06
NORTHWEST ARCTIC,AK,21.81,33.93,45.27
PETERSBURG,AK,6.95,11.14,15.20
PRINCE OF WALES-HYDER,AK,10.89,19.47,28.05
SITKA,AK,3.38,8.03,15.27
SKAGWAY MUNICIPALITY,AK,3.98,5.47,9.95
SOUTHEAST FAIRBANKS,AK,7.59,11.92,21.00
VALDEZ-CORDOVA,AK,8.09,10.50,15.91
WRANGELL CITY,AK,4.00,11.38,22.15
YAKUTAT,AK,2.21,10.29,24.26
YUKON-KOYUKUK,AK,19.98,30.76,43.01
AUTAUGA,AL,11.98,18.45,25.52
BALDWIN,AL,7.27,13.26,21.12
BARBOUR,AL,21.54,31.99,43.33
BIBB,AL,10.47,20.68,30.18
BLOUNT,AL,10.22,18.95,29.29
BULLOCK,AL,30.96,37.24,43.33
BUTLER,AL,18.85,30.30,39.83
CALHOUN,AL,14.58,24.25,34.21
CHAMBERS,AL,11.29,25.19,37.31
CHEROKEE,AL,12.48,22.45,35.94
CHILTON,AL,15.28,25.68,34.85
CHOCTAW,AL,17.78,29.34,41.68
CLARKE,AL,18.38,27.03,36.81
CLAY,AL,14.77,24.38,38.79
CLEBURNE,AL,11.97,21.04,34.43
COFFEE,AL,11.58,18.91,27.87
COLBERT,AL,12.64,20.97,30.55
CONECUH,AL,17.35,31.04,49.26
COOSA,AL,8.75,22.56,33.11
COVINGTON,AL,13.85,22.21,32.75
CRENSHAW,AL,10.31,22.84,35.63
CULLMAN,AL,11.70,21.56,34.31
DALE,AL,13.53,21.94,33.63
DALLAS,AL,24.75,37.01,49.34
DEKALB,AL,16.97,30.81,42.77
ELMORE,AL,9.82,15.35,22.88
ESCAMBIA,AL,17.87,27.71,41.54
ETOWAH,AL,13.38,22.78,32.43
FAYETTE,AL,15.05,26.23,41.08
FRANKLIN,AL,14.81,26.67,41.08
GENEVA,AL,17.84,27.73,36.93
GREENE,AL,33.37,45.15,58.28
HALE,AL,20.08,32.53,43.48
HENRY,AL,10.70,21.58,31.20
HOUSTON,AL,13.98,23.07,32.10
JACKSON,AL,16.52,28.22,38.18
JEFFERSON,AL,13.20,21.00,29.02
LAMAR,AL,15.15,25.79,39.24
