County,State,Num_Fam_Below_1.00x_FPL,Num_Fam_Below_1.50x_FPL,Num_Fam_Below_2.00x_FPL
ALEUTIANS EAST,AK,67,101,147
ALEUTIANS WEST,AK,40,67,123
ANCHORAGE,AK,4313,7530,10730
BETHEL,AK,866,1366,1741
BRISTOL BAY,AK,5,18,35
DENALI,AK,9,14,33
DILLINGHAM,AK,164,295,437
FAIRBANKS NORTH STAR,AK,1200,2419,4059
HAINES,AK,49,83,161
HOONAH-ANGOON,AK,39,83,123
JUNEAU,AK,333,483,698
KENAI PENINSULA,AK,1061,1892,2793
KETCHIKAN GATEWAY,AK,251,394,663
KODIAK ISLAND,AK,284,367,705
KUSILVAK,AK,552,858,1030
LAKE AND PENINSULA,AK,39,82,113
MATANUSKA-SUSITNA,AK,1574,2635,4037
NOME,AK,442,697,958
NORTH SLOPE,AK,141,270,413
NORTHWEST ARCTIC,AK,304,473,631
PETERSBURG,AK,53,85,116
PRINCE OF WALES-HYDER,AK,165,295,425
SITKA,AK,72,171,325
SKAGWAY MUNICIPALITY,AK,8,11,20
SOUTHEAST FAIRBANKS,AK,112,176,310
VALDEZ-CORDOVA,AK,151,196,297
WRANGELL CITY AND,AK,26,74,144
YAKUTAT,AK,3,14,33
YUKON-KOYUKUK,AK,230,354,495
AUTAUGA,AL,1817,2797,3869
BALDWIN,AL,3734,6812,10848
BARBOUR,AL,1299,1929,2613
BIBB,AL,518,1023,1493
BLOUNT,AL,1544,2862,4424
BULLOCK,AL,768,924,1075
BUTLER,AL,835,1342,1764
CALHOUN,AL,4496,7476,10549
CHAMBERS,AL,978,2181,3231
CHEROKEE,AL,915,1646,2635
CHILTON,AL,1822,3063,4156
CHOCTAW,AL,624,1030,1463
CLARKE,AL,1109,1631,2221
CLAY,AL,538,888,1413
CLEBURNE,AL,462,812,1329
COFFEE,AL,1573,2569,3786
COLBERT,AL,1867,3097,4511
CONECUH,AL,501,896,1422
COOSA,AL,233,601,882
COVINGTON,AL,1402,2249,3316
CRENSHAW,AL,353,782,1220
CULLMAN,AL,2492,4592,7308
DALE,AL,1703,2761,4233
DALLAS,AL,2615,3910,5212
DEKALB,AL,3124,5673,7876
ELMORE,AL,2058,3218,4796
ESCAMBIA,AL,1468,2276,3412
ETOWAH,AL,3498,5955,8477
FAYETTE,AL,724,1262,1977
FRANKLIN,AL,1141,2054,3164
GENEVA,AL,1288,2002,2666
GREENE,AL,544,736,950
HALE,AL,715,1158,1548
HENRY,AL,479,966,1397
HOUSTON,AL,3598,5937,8261
JACKSON,AL,2381,4067,5502
JEFFERSON,AL,21759,34621,47840
LAMAR,AL,614,1045,1590
LAUDERDALE,AL,2608,4767,7186
LAWRENCE,AL,1253,2083,2898
LEE,AL,4796,7919,10883
LIMESTONE,AL,2327,3903,5710
LOWNDES,AL,669,1065,1336
MACON,AL,866,1441,1884
MADISON,AL,8980,14859,20850
MARENGO,AL,545,1086,1495
MARION,AL,1103,2061,3290
MARSHALL,AL,3877,6194,8564
MOBILE,AL,15216,24497,33566
MONROE,AL,1152,1535,2138
MONTGOMERY,AL,9133,14240,18901
MORGAN,AL,3901,6379,9279
PERRY,AL,504,739,916
PICKENS,AL,863,1323,1819
PIKE,AL,967,1537,2311
RANDOLPH,AL,840,1270,2055
RUSSELL,AL,2238,3671,5163
SHELBY,AL,2885,5736,8858
ST. CLAIR,AL,2333,4245,6387
SUMTER,AL,571,922,1371
TALLADEGA,AL,3305,5471,7964
TALLAPOOSA,AL,1817,2727,4015
TUSCALOOSA,AL,5297,9065,13214
WALKER,AL,2493,4278,6071
WASHINGTON,AL,689,1084,1572
WILCOX,AL,469,758,1012
WINSTON,AL,780,1718,2446
ARKANSAS,AR,688,1207,1763
ASHLEY,AR,900,1497,2026
BAXTER,AR,1204,2240,3675
BENTON,AR,5288,10868,16360
BOONE,AR,1154,2417,3707
BRADLEY,AR,502,756,1136
CALHOUN,AR,161,303,434
CARROLL,AR,677,1390,2254
CHICOT,AR,708,1078,1394
CLARK,AR,711,1110,1776
CLAY,AR,694,1162,1747
CLEBURNE,AR,707,1373,2192
CLEVELAND,AR,340,614,775
COLUMBIA,AR,1256,1737,2433
CONWAY,AR,733,1303,1903
CRAIGHEAD,AR,3479,6319,9148
CRAWFORD,AR,2049,4005,5938
CRITTENDEN,AR,2113,3536,4966
CROSS,AR,600,1216,1639
DALLAS,AR,193,495,808
DESHA,AR,766,1244,1621
DREW,AR,740,1228,1563
FAULKNER,AR,3029,5755,7920
FRANKLIN,AR,685,1256,1688
FULTON,AR,644,1232,1619
GARLAND,AR,3190,5675,8007
GRANT,AR,587,906,1540
GREENE,AR,1431,2623,3824
HEMPSTEAD,AR,1061,1577,2215
HOT SPRING,AR,1187,2162,3122
HOWARD,AR,513,979,1377
INDEPENDENCE,AR,1202,2311,3402
IZARD,AR,413,771,1178
JACKSON,AR,642,1151,1689
JEFFERSON,AR,2916,4735,6209
JOHNSON,AR,1093,2048,3035
LAFAYETTE,AR,336,577,815
LAWRENCE,AR,546,1174,1701
LEE,AR,402,677,906
