"_","ST","County","StateFIPS","CountyFIPS","Population","Deaths","U_C_Rate"
"","","","","","","",""
"2008-2014, United States","","","","","","",""
"Death Rates per 100,000 Population","","","","","","",""
"All Injury, Suicide, All Races, All Ethnicities, Both Sexes, All Ages","","","","","","",""
"Annualized Crude Rate for United States: 12.63","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  These rates are suppressed for counties (see legend above); such rates in the title have an asterisk.","","","","","","",""
"","","","","","","",""
"m4687721 created 08DEC16:23:05     downloaded 07AUG20:18:29","","","","","","",""
"","","","","","","",""
"Types of Rates:    U_C_Rate = Unsmoothed, Crude Rate.","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","ST","County","StateFIPS","CountyFIPS","Population","Deaths","U_C_Rate"
"","AL","AUTAUGA","1","1","382981","65","16.97212133"
"","AL","BALDWIN","1","3","1310307","252","19.23213415"
"","AL","BARBOUR","1","5","191181","22","11.50741967"
"","AL","BIBB","1","7","158945","29","18.24530498"
"","AL","BLOUNT","1","9","402599","69","17.13864168"
"","AL","BULLOCK","1","11","75435","",""
"","AL","BUTLER","1","13","144433","24","16.61670117"
"","AL","CALHOUN","1","15","821696","124","15.09073915"
"","AL","CHAMBERS","1","17","239504","35","14.61353464"
"","AL","CHEROKEE","1","19","181721","38","20.91117702"
"","AL","CHILTON","1","21","305591","51","16.68897317"
"","AL","CHOCTAW","1","23","95832","",""
"","AL","CLARKE","1","25","179025","22","12.28878648"
"","AL","CLAY","1","27","96299","",""
"","AL","CLEBURNE","1","29","104746","21","20.04849827"
"","AL","COFFEE","1","31","351356","52","14.79980419"
"","AL","COLBERT","1","33","381275","50","13.11389417"
"","AL","CONECUH","1","35","91596","22","24.01851609"
"","AL","COOSA","1","37","78918","",""
"","AL","COVINGTON","1","39","264580","33","12.47259808"
"","AL","CRENSHAW","1","41","97675","",""
"","AL","CULLMAN","1","43","563918","96","17.02375168"
"","AL","DALE","1","45","349700","45","12.86817272"
"","AL","DALLAS","1","47","301721","",""
"","AL","DE KALB","1","49","496451","79","15.91295012"
"","AL","ELMORE","1","51","557793","82","14.70079402"
"","AL","ESCAMBIA","1","53","266393","28","10.51078669"
"","AL","ETOWAH","1","55","729002","117","16.04933868"
"","AL","FAYETTE","1","57","119939","24","20.01017184"
"","AL","FRANKLIN","1","59","221312","33","14.91107577"
"","AL","GENEVA","1","61","187374","28","14.94337528"
"","AL","GREENE","1","63","62586","",""
"","AL","HALE","1","65","109285","",""
"","AL","HENRY","1","67","120739","23","19.04935439"
